session,ts_ms,gross_bps
20260818-190823,1787080138185,-4.156863654098595
20260818-190823,1787080138034,-4.156863654098595
20260818-190823,1787080138287,-4.156863654098595
20260818-190823,1787080138389,-4.156863654098595
20260818-190823,1787080138491,-4.156863654098595
20260818-190823,1787080138593,-4.156863654098595
20260818-190823,1787080138695,-4.156863654098595
20260818-190823,1787080138797,-4.156863654098595
20260818-190823,1787080138899,-4.156863654098595
20260818-190823,1787080139001,-4.156863654098595
20260818-190823,1787080139103,-4.156863654098595
20260818-190823,1787080139205,-4.156863654098595
20260818-190823,1787080139120,-4.156863654098595
20260818-190823,1787080139307,-4.156863654098595
20260818-190823,1787080139409,-4.156863654098595
20260818-190823,1787080139511,-4.156863654098595
20260818-190823,1787080139382,-4.156863654098595
20260818-190823,1787080139613,-4.156863654098595
20260818-190823,1787080139715,-4.156863654098595
20260818-190823,1787080139817,-4.156863654098595
20260818-190823,1787080139919,-4.156863654098595
20260818-190823,1787080140021,-4.156863654098595
20260818-190823,1787080140123,-4.156863654098595
20260818-190823,1787080140004,-4.156863654098595
20260818-190823,1787080140225,-4.156863654098595
20260818-190823,1787080140327,-4.156863654098595
20260818-190823,1787080140227,-4.156863654098595
20260818-190823,1787080140429,-4.156863654098595
20260818-190823,1787080140531,-4.156863654098595
20260818-190823,1787080140506,-4.156863654098595
20260818-190823,1787080140633,-4.156863654098595
20260818-190823,1787080140735,-4.156863654098595
20260818-190823,1787080140629,-4.156863654098595
20260818-190823,1787080140738,-4.156863654098595
20260818-190823,1787080140837,-4.156863654098595
20260818-190823,1787080140770,-4.156863654098595
20260818-190823,1787080140939,-4.156863654098595
20260818-190823,1787080140878,-4.156863654098595
