session,ts_ms,action,score,gross_bps,exec_ret_bps,net_taker_bps,net_maker_bps,mid0,mid_target,spread_bps,qi_l1,max_favorable_bps,max_adverse_bps,time_to_peak_ms,time_to_adverse_ms
20260818-190823,1787080133184,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.662291,0.0,0.0,0,0
20260818-190823,1787080133391,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.659971,0.0,0.0,0,0
20260818-190823,1787080133493,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.659971,0.0,0.0,0,0
20260818-190823,1787080133595,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.665239,0.0,0.0,0,0
20260818-190823,1787080133697,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.84841,0.0,0.0,0,0
20260818-190823,1787080133598,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.84841,0.0,0.0,0,0
20260818-190823,1787080133799,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.845506,0.0,0.0,0,0
20260818-190823,1787080133901,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.847297,0.0,0.0,0,0
20260818-190823,1787080134003,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.850082,0.0,0.0,0,0
20260818-190823,1787080134105,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.847173,0.0,0.0,0,0
20260818-190823,1787080134207,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.852468,0.0,0.0,0,0
20260818-190823,1787080134309,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.755442,0.0,0.0,0,0
20260818-190823,1787080134217,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.755442,0.0,0.0,0,0
20260818-190823,1787080134411,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.74873,0.0,0.0,0,0
20260818-190823,1787080134513,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.752878,0.0,0.0,0,0
20260818-190823,1787080134615,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.75287,0.0,0.0,0,0
20260818-190823,1787080134717,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.792555,0.0,0.0,0,0
20260818-190823,1787080134819,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.760219,0.0,0.0,0,0
20260818-190823,1787080134921,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.768821,0.0,0.0,0,0
20260818-190823,1787080134828,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.768821,0.0,0.0,0,0
20260818-190823,1787080135023,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.769586,0.0,0.0,0,0
20260818-190823,1787080135125,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.762819,0.0,0.0,0,0
20260818-190823,1787080135004,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.762819,0.0,0.0,0,0
20260818-190823,1787080135227,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.762875,0.0,0.0,0,0
20260818-190823,1787080135154,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.762875,0.0,0.0,0,0
20260818-190823,1787080135329,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.765449,0.0,0.0,0,0
20260818-190823,1787080135431,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.765449,0.0,0.0,0,0
