session,ts_ms,action,gross_bps,net_bps,mid,spread_bps,pred_raw,calibrated,exec_ready
20260818-190746,1787080084017,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6835781509400416,-0.5717989357779674,False
20260818-190746,1787080084227,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.19016015755478582,-0.030626521207023683,False
20260818-190746,1787080084222,BUY,0.0,-4.6658,64715.350000000006,0.015452,0.008178015933877958,0.06913311378290628,False
20260818-190746,1787080084329,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.1316427143346816,-0.030626521207023683,False
20260818-190746,1787080084431,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.19963012384096573,-0.030626521207023683,False
20260818-190746,1787080084533,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.20535893886472872,-0.030626521207023683,False
20260818-190746,1787080084424,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.21496037236312254,-0.030626521207023683,False
20260818-190746,1787080084635,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.2102785898033674,-0.030626521207023683,False
20260818-190746,1787080084737,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.21538107674607548,-0.030626521207023683,False
20260818-190746,1787080084839,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.2221819922185368,-0.030626521207023683,False
20260818-190746,1787080084941,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.19912779614086704,-0.030626521207023683,False
20260818-190746,1787080085043,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.16327276573087857,-0.030626521207023683,False
20260818-190746,1787080084932,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.19073012385011268,-0.030626521207023683,False
20260818-190746,1787080085145,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.17171502609051872,-0.030626521207023683,False
20260818-190746,1787080085247,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.2557108757655259,-0.030626521207023683,False
20260818-190746,1787080085349,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.15306058209773854,-0.030626521207023683,False
20260818-190746,1787080085451,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.18004198933031892,-0.030626521207023683,False
20260818-190746,1787080085553,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.1792709079844814,-0.030626521207023683,False
20260818-190746,1787080085655,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.19545745471609058,-0.030626521207023683,False
20260818-190746,1787080085757,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.17717162992346336,-0.030626521207023683,False
20260818-190746,1787080085859,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.18334414683041791,-0.030626521207023683,False
20260818-190746,1787080085961,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.2353200011863892,-0.030626521207023683,False
20260818-190746,1787080086063,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.20465018177851274,-0.030626521207023683,False
20260818-190746,1787080086165,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4234559804291514,-0.5717989357779674,False
20260818-190746,1787080086267,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.47820629849516255,-0.5717989357779674,False
20260818-190746,1787080086369,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4698772296638128,-0.5717989357779674,False
20260818-190746,1787080086471,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4638277144556398,-0.5717989357779674,False
20260818-190746,1787080086446,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.49102537323847356,-0.5717989357779674,False
20260818-190823,1787080104729,SELL,-0.0,-4.6658,64712.25,0.015453,-0.04885003299587748,-0.030626521207023683,False
20260818-190823,1787080104831,BUY,0.0,-4.6658,64712.25,0.015453,-0.03906684981321612,0.06913311378290628,False
20260818-190823,1787080104933,BUY,0.0,-4.6658,64712.25,0.015453,-0.010722536676782413,0.06913311378290628,False
