session,ts_ms,action,gross_bps
20260818-190823,1787080184901,SELL,-0.0
20260818-190823,1787080185003,SELL,-0.0
20260818-190823,1787080185105,SELL,-0.0
20260818-190823,1787080185207,SELL,-0.0
20260818-190823,1787080185090,SELL,-0.0
20260818-190823,1787080185309,SELL,-0.0
20260818-190823,1787080185411,SELL,-0.0
20260818-190823,1787080185513,SELL,-0.0
20260818-190823,1787080185615,SELL,-0.0
20260818-190823,1787080185548,SELL,-0.0
20260818-190823,1787080185717,SELL,-0.0
20260818-190823,1787080185819,SELL,-0.0
20260818-190823,1787080185921,SELL,-0.0
20260818-190823,1787080186023,SELL,-0.0
20260818-190823,1787080186125,SELL,-0.0
20260818-190823,1787080186227,SELL,-0.0
20260818-190823,1787080186329,SELL,2.627176596492719
20260818-190823,1787080186431,SELL,2.627176596492719
20260818-190823,1787080186488,SELL,2.627176596492719
20260818-190823,1787080186533,SELL,2.627176596492719
20260818-190823,1787080186635,SELL,2.627176596492719
20260818-190823,1787080186514,SELL,2.627176596492719
20260818-190823,1787080186737,SELL,2.627176596492719
20260818-190823,1787080186839,SELL,2.627176596492719
20260818-190823,1787080186941,SELL,2.627176596492719
20260818-190823,1787080187043,SELL,2.627176596492719
20260818-190823,1787080186928,SELL,2.627176596492719
20260818-190823,1787080187145,SELL,2.627176596492719
20260818-190823,1787080187090,SELL,2.627176596492719
20260818-190823,1787080187247,SELL,2.627176596492719
20260818-190823,1787080187349,SELL,2.627176596492719
20260818-190823,1787080187451,SELL,2.627176596492719
20260818-190823,1787080187553,SELL,2.8126243562446964
20260818-190823,1787080187426,SELL,2.627176596492719
20260818-190823,1787080187655,SELL,2.8126243562446964
