session,ts_ms,action,gross_bps,net_bps,cost_bps,fill_prob,filled,qi_l1,spread_bps
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,-1.5973184506376277,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,-1.5973184506376277,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,-1.5973184506376277,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,-1.5973184506376277,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752802,SELL,0.4026815493623722,-1.5973184506376277,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752809,SELL,-0.0,-2.0,2.0,0.42399585296416,True,-0.977939,0.015488
20260818-214859,1787089752811,SELL,-0.0,-2.0,2.0,0.42399585296416,True,-0.977939,0.015488
20260818-214859,1787089752809,SELL,-0.0,-2.0,2.0,0.42399585296416,True,-0.977939,0.015488
20260818-214859,1787089752913,SELL,-0.0,0.0,2.0,0.42763332635007995,True,-0.957732,0.015488
20260818-214859,1787089752835,SELL,-0.0,0.0,2.0,0.42763332635007995,True,-0.957732,0.015488
20260818-214859,1787089753015,SELL,-0.0,-2.0,2.0,0.42995294242624,True,-0.944846,0.015488
20260818-214859,1787089753117,SELL,-0.0,0.0,2.0,0.43043933095936,True,-0.942144,0.015488
20260818-214859,1787089753219,SELL,-0.0,0.0,2.0,0.43102706543776,True,-0.938879,0.015488
20260818-214859,1787089753321,SELL,-0.0,0.0,2.0,0.4355194089731199,True,-0.913923,0.015488
20260818-214859,1787089753423,SELL,-0.0,-2.0,2.0,0.43711286245024006,True,-0.905071,0.015488
20260818-214859,1787089754230,SELL,-0.0,-2.0,2.0,0.43586574929055993,True,-0.911999,0.015488
20260818-214859,1787089754443,SELL,-0.0,-2.0,2.0,0.43581588636543994,True,-0.912276,0.015488
20260818-214859,1787089754376,SELL,-0.0,-2.0,2.0,0.43581588636543994,True,-0.912276,0.015488
20260818-214859,1787089754545,SELL,-0.0,0.0,2.0,0.4366630160608,True,-0.90757,0.015488
20260818-214859,1787089754647,SELL,-0.0,-2.0,2.0,0.4366630160608,True,-0.90757,0.015488
20260818-214859,1787089754749,SELL,-0.0,0.0,2.0,0.43959988834719993,True,-0.891255,0.015488
20260818-214859,1787089754851,SELL,-0.0,0.0,2.0,0.43932483221151997,True,-0.892783,0.015488
20260818-214859,1787089754758,SELL,-0.0,0.0,2.0,0.43932483221151997,True,-0.892783,0.015488
20260818-214859,1787089754953,SELL,-0.0,0.0,2.0,0.43926578874784,True,-0.893111,0.015488
20260818-214859,1787089755055,SELL,-0.0,-2.0,2.0,0.43950214261312,True,-0.891798,0.015488
20260818-214859,1787089755157,SELL,-0.0,0.0,2.0,0.43950214261312,True,-0.891798,0.015488
20260818-214859,1787089755259,SELL,-0.0,0.0,2.0,0.43950214261312,True,-0.891798,0.015488
20260818-214859,1787089755361,SELL,-0.0,-2.0,2.0,0.43956118607679995,True,-0.89147,0.015488
20260818-214859,1787089755463,SELL,0.40269776526063,0.0,2.0,0.43956118607679995,True,-0.89147,0.015488
20260818-214859,1787089755565,SELL,0.40269776526063,-1.59730223473937,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755667,SELL,0.40269776526063,-1.59730223473937,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755769,SELL,0.40269776526063,0.0,2.0,0.43960312853728,True,-0.891237,0.015488
20260818-214859,1787089755871,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755915,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,-1.59730223473937,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,-1.59730223473937,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755918,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755921,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755921,SELL,0.40269776526063,-1.59730223473937,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755921,SELL,0.40269776526063,0.0,2.0,0.4395442650841599,True,-0.891564,0.015488
20260818-214859,1787089755924,SELL,-0.0,0.0,2.0,0.42766534805582,True,-0.957526,0.015489
20260818-214859,1787089755924,SELL,-0.0,0.0,2.0,0.42766534805582,True,-0.957526,0.015489
20260818-214859,1787089755973,SELL,-0.0,-2.0,2.0,0.42397553525768,True,-0.978024,0.015489
20260818-214859,1787089756075,SELL,-0.0,0.0,2.0,0.42766534805582,True,-0.957526,0.015489
20260818-214859,1787089755924,SELL,-0.0,0.0,2.0,0.42766534805582,True,-0.957526,0.015489
20260818-214859,1787089756177,SELL,-0.0,-2.0,2.0,0.43674407322287007,True,-0.907091,0.015489
20260818-214859,1787089756279,SELL,-0.0,-2.0,2.0,0.44053901094412995,True,-0.886009,0.015489
20260818-214859,1787089756381,SELL,-0.0,-2.0,2.0,0.44120360206769005,True,-0.882317,0.015489
20260818-214859,1787089756483,SELL,-0.0,0.0,2.0,0.4409654509148,True,-0.88364,0.015489
20260818-214859,1787089756585,SELL,-0.0,0.0,2.0,0.44479531027148,True,-0.862364,0.015489
20260818-214859,1787089756687,SELL,-0.0,0.0,2.0,0.44479045004387,True,-0.862391,0.015489
20260818-214859,1787089756789,SELL,-0.0,-2.0,2.0,0.44479045004387,True,-0.862391,0.015489
20260818-214859,1787089756891,SELL,-0.0,-2.0,2.0,0.4474223532989,True,-0.84777,0.015489
20260818-214859,1787089756993,SELL,-0.0,-2.0,2.0,0.44661321540605,True,-0.852265,0.015489
20260818-214859,1787089757095,SELL,-0.0,-2.0,2.0,0.44752945831474994,True,-0.847175,0.015489
20260818-214859,1787089757197,SELL,-0.0,-2.0,2.0,0.44752945831474994,True,-0.847175,0.015489
20260818-214859,1787089757299,SELL,-0.0,0.0,2.0,0.44681626491508997,True,-0.851137,0.015489
20260818-214859,1787089757401,SELL,-0.0,0.0,2.0,0.44738707164662,True,-0.847966,0.015489
20260818-214859,1787089757503,SELL,-0.0,0.0,2.0,0.45072388791352996,True,-0.829429,0.015489
20260818-214859,1787089757605,SELL,-0.0,-2.0,2.0,0.45088193531507004,True,-0.828551,0.015489
20260818-214859,1787089757707,SELL,-0.0,0.0,2.0,0.45080291161430003,True,-0.82899,0.015489
20260818-214859,1787089757809,SELL,-0.0,0.0,2.0,0.4506842860589301,True,-0.829649,0.015489
20260818-214859,1787089757911,SELL,-0.0,0.0,2.0,0.45044361478802,True,-0.830986,0.015489
20260818-214859,1787089758013,SELL,-0.0,0.0,2.0,0.45080093152157,True,-0.829001,0.015489
